id,Action,Name,Amount,Date,Category,Remarks,Status
1,,Transaction 001,$120.00,2024-08-01,Category 1,Remark 1,
2,,Transaction 002,$300.00,2024-08-03,Category 2,Remark 2,
3,,Transaction 003,$450.00,2024-08-10,Category 1,Remark 3,
4,,Transaction 004,$200.00,2024-08-12,Category 3,Remark 4,
5,,Transaction 005,$320.00,2024-08-15,Category 2,Remark 5,
6,,Transaction 006,$120.00,2024-08-01,Category 1,Remark 1,
7,,Transaction 007,$300.00,2024-08-03,Category 2,Remark 2,
8,,Transaction 008,$450.00,2024-08-10,Category 1,Remark 3,
9,,Transaction 009,$200.00,2024-08-12,Category 3,Remark 4,
10,,Transaction 010,$320.00,2024-08-15,Category 2,Remark 5,
11,,Transaction 011,$120.00,2024-08-01,Category 1,Remark 1,
12,,Transaction 012,$300.00,2024-08-03,Category 2,Remark 2,
13,,Transaction 013,$450.00,2024-08-10,Category 1,Remark 3,
14,,Transaction 014,$200.00,2024-08-12,Category 3,Remark 4,
15,,Transaction 015,$320.00,2024-08-15,Category 2,Remark 5,
16,,Transaction 016,$120.00,2024-08-01,Category 1,Remark 1,
17,,Transaction 017,$300.00,2024-08-03,Category 2,Remark 2,
